Gewicht,Sorte,Bewaesserung
162.1307646,1,wenig
153.6696955,1,wenig
136.7617098,1,wenig
150.5172142,1,wenig
131.3522498,1,wenig
146.4247882,1,wenig
142.1083303,1,wenig
148.4235951,1,wenig
161.4825306,1,wenig
142.1161007,1,wenig
138.7035971,1,wenig
156.0637823,1,wenig
159.8029738,1,wenig
148.1450361,1,wenig
140.1350857,1,wenig
151.4962019,1,wenig
151.0367494,1,wenig
143.8143934,1,wenig
139.7313923,1,wenig
149.7009267,1,wenig
157.888271,1,wenig
158.8274898,1,wenig
149.9281479,1,wenig
158.7654621,1,wenig
153.9705747,1,wenig
157.6053046,1,wenig
157.4418545,1,wenig
152.405063,1,wenig
148.3823262,1,wenig
140.477891,1,wenig
153.8210261,1,wenig
156.4067756,1,wenig
153.7956986,1,wenig
156.2409857,1,wenig
142.5009882,1,wenig
139.1723112,1,wenig
147.2829675,1,wenig
150.7406877,1,wenig
161.0390507,1,wenig
153.7166674,1,wenig
164.0877952,1,wenig
163.5898343,1,wenig
168.0259161,1,wenig
157.0426813,1,wenig
145.1748991,1,wenig
148.5823095,1,wenig
150.9941191,1,wenig
155.1881678,1,wenig
145.1526289,1,wenig
150.7512693,1,wenig
166.6626828,2,wenig
145.2597202,2,wenig
162.7849665,2,wenig
165.9759058,2,wenig
155.9265344,2,wenig
170.8110362,2,wenig
173.2543624,2,wenig
161.9646655,2,wenig
153.4445403,2,wenig
149.9008226,2,wenig
154.7586544,2,wenig
162.2241199,2,wenig
162.2133398,2,wenig
171.8827415,2,wenig
171.9108569,2,wenig
173.8201916,2,wenig
169.6933315,2,wenig
160.4977888,2,wenig
171.1836231,2,wenig
177.3785265,2,wenig
175.2469941,2,wenig
160.5409513,2,wenig
160.5533006,2,wenig
163.137961,2,wenig
169.7483369,2,wenig
161.3706534,2,wenig
163.116017,2,wenig
165.9512896,2,wenig
157.9762129,2,wenig
176.0912916,2,wenig
158.0774855,2,wenig
162.4782125,2,wenig
162.3677179,2,wenig
169.6166776,2,wenig
157.5736064,2,wenig
168.3614556,2,wenig
173.9913737,2,wenig
161.8012251,2,wenig
170.3205963,2,wenig
153.6451302,2,wenig
163.649803,2,wenig
147.874954,2,wenig
161.7093497,2,wenig
164.8395975,2,wenig
166.3018161,2,wenig
161.8839192,2,wenig
179.9129783,2,wenig
162.033512,2,wenig
163.7820598,2,wenig
166.161285,2,wenig
184.0910896,3,wenig
165.469597,3,wenig
158.816261,3,wenig
172.3896668,3,wenig
170.4869196,3,wenig
171.7820977,3,wenig
176.7954804,3,wenig
168.0843525,3,wenig
185.2128447,3,wenig
172.720959,3,wenig
172.7471045,3,wenig
167.5593933,3,wenig
169.9531539,3,wenig
171.2064117,3,wenig
160.7515441,3,wenig
167.180925,3,wenig
181.1550887,3,wenig
172.7044341,3,wenig
178.8186254,3,wenig
185.9531695,3,wenig
171.2074639,3,wenig
168.7056135,3,wenig
168.8738053,3,wenig
