,julday,LNOx,LNOxEm,sqrtWS
193,373,4.457250056,5.536488847,0.856446145
194,373,4.151826998,5.513000467,1.01661202
195,373,3.834061464,4.886993535,1.095445115
196,373,4.172847624,5.138912365,1.354067945
197,373,4.322807275,5.666518438,1.204159458
198,373,5.026180505,7.152554374,1.147606204
199,373,5.137267945,7.365264813,0.948683298
200,373,5.750666061,8.085807669,1.024695077
201,373,5.59897736,8.073264274,0.983107319
202,373,5.179815322,7.936809091,1.01661202
203,373,5.316648323,7.877836366,1.048808848
204,373,4.584457144,7.911378665,0.930859818
205,373,4.611152258,7.820182164,0.974679434
206,373,5.346869407,7.962807602,1.251798706
207,373,5.26217192,8.065117134,1.360147051
208,373,5.123963979,8.065216454,1.420035211
209,373,5.442417711,8.129147959,1.472073368
210,373,5.662439511,8.13139437,1.176222768
211,373,5.733988317,8.070724717,1.080046295
212,373,5.663134076,7.736661047,1.183215957
213,373,5.386557155,7.68353328,1.278084504
214,373,4.922532413,7.315928613,1.335477443
215,373,4.173617743,6.551457735,1.437706507
216,373,4.273187855,6.296703478,1.47766708
217,374,4.87557893,6.035895205,0.795927132
218,374,4.656338473,5.680693806,1.040913061
219,374,4.318820559,5.601202938,1.231665539
220,374,4.099332104,5.495393965,1.378404875
221,374,4.178226046,5.710395854,1.414213562
222,374,4.759606539,6.738585262,1.390323703
223,374,5.434158589,7.24864305,1.396424004
224,374,5.423406977,7.581113552,1.183215957
225,374,5.684769535,7.839756822,1.048808848
226,374,5.465102184,7.915670623,0.974679434
227,374,4.001863709,7.978073742,1.987460691
228,374,4.17438727,7.817266665,2.22856456
229,374,4.286341385,7.650128551,2.097617696
230,374,4.314149212,7.703372258,1.816590212
231,374,3.779633817,7.597574057,2.209751117
232,374,4.036008985,7.602522971,1.995870737
233,374,3.984343667,7.456597762,1.962141687
234,374,4.440295543,7.553841902,1.402319507
235,374,4.691347882,7.157577647,1.080046295
236,374,4.705920089,7.022697205,1.169187752
237,374,3.858622229,6.598899702,1.527579785
238,374,3.056356895,6.340375174,2
239,374,3.042138646,6.288348092,1.875233319
240,374,2.923161581,6.250001503,1.906043022
241,375,3.175968324,6.085637918,1.62788206
242,375,3.258096538,5.783921717,1.396424004
243,375,4.11414719,5.436316125,1
244,375,4.471067201,5.443555669,1.224744871
245,375,4.363735365,5.538549916,1.291123542
246,375,4.247065649,5.519628736,1.402497772
247,375,4.348986781,5.540172172,1.443433407
248,375,4.827113017,6.090390349,1.449137675
249,375,5.153291594,6.446578392,1.224744871
250,375,5.394536224,6.628366991,0.856446145
251,375,5.199877294,6.856516169,0.763871717
252,375,4.212127598,6.984021271,0.836660027
253,375,3.609565647,6.813063915,0.816394512
254,375,3.369018483,6.857616247,1.284523258
255,375,3.940610462,7.152753253,1.834938691
256,375,3.952204795,7.215083495,1.653329973
257,375,4.782897874,7.480697447,0.939946807
258,375,4.826311735,7.505013983,1.080046295
259,375,4.860199926,7.165757841,1.102950588
260,375,4.613634264,6.832595063,1.251598977
261,375,4.747103682,6.680632366,1.366382084
262,375,4.329416684,6.500858589,1.454819576
263,375,4.270396506,6.027304033,1.396424004
264,375,3.32323584,5.810202419,1.396424004
265,376,2.734367509,5.468154167,1.516575089
266,376,2.317473705,5.363827326,1.46628783
267,376,2.351375257,4.70562719,1.538505769
268,376,1.446918983,4.676207076,1.906174179
269,376,2.433613355,5.424533623,2.004120755
270,376,5.055289935,7.591231709,1.586505594
271,376,5.114995309,7.634213718,1.431782106
272,376,5.915662834,8.19405883,0.957340065
273,376,5.974064032,8.31532358,0.903603896
274,376,6.001538633,8.143969542,0.816394512
275,376,5.746841964,8.15378245,0.930859818
276,376,4.669552445,8.080604529,1.056882207
277,376,4.786658062,7.961429044,1.62788206
278,376,4.878246106,8.021582358,1.449137675
279,376,5.225208895,8.070947326,1.154772705
280,376,4.993489135,8.194942176,1.360147051
281,376,5.59805152,8.268281906,1.087658034
282,376,5.398615088,8.172655598,1.176222768
283,376,5.314190716,8.23311624,1.251598977
284,376,5.015954456,7.75031628,1.01661202
285,376,4.627909673,7.578517024,1.080046295
286,376,4.678885224,7.074996815,1.032714869
287,376,3.951243719,6.059714745,1.224744871
288,376,3.645449896,5.782612887,1.110405331
289,377,1.824549292,5.423809924,1.816590212
290,377,1.731655545,5.449162789,1.970659788
291,377,2.066862759,5.079267886,2.089736826
292,377,0.993251773,5.049946894,2.041200627
293,377,1.648658626,5.477241905,1.483239697
294,377,4.585987367,7.458109037,1.47766708
295,377,5.136092511,7.861335219,1.329097438
296,377,5.618587629,8.326373789,1.297497592
297,377,4.566948973,8.27317806,1.63294213
298,377,4.028916757,8.073091194,1.974841766
299,377,4.59764192,8.249875532,1.901841213
300,377,3.900962058,8.198224539,1.940876091
301,377,3.325036021,8.132039024,1.870828693
302,377,4.219507705,8.187858273,1.74642492
303,377,4.839055834,8.208645292,1.697939928
304,377,4.875960391,8.305183398,1.511125408
305,377,4.816241156,8.340373988,1.378404875
306,377,5.217107311,8.337953783,1.24498996
307,377,5.642438844,8.160694871,1.258371964
308,377,5.595268845,8.013149016,1.329097438
309,377,5.387929525,7.587414037,1.443260198
310,377,4.729156166,7.262567045,1.420035211
311,377,4.153399325,6.449203779,1.19707978
312,377,4.24563401,6.037355222,1.095445115
313,378,3.609565647,5.521828256,1.570668647
314,378,3.430756184,5.600699512,1.390323703
315,378,3.109060959,5.008994145,1.402497772
316,378,2.545531272,5.367141299,1.875366631
317,378,3.238678452,5.336375353,1.251798706
318,378,5.204006687,7.399467345,1.316434579
319,378,5.747639858,7.756340897,1.511125408
320,378,5.535166565,8.338062738,1.46628783
321,378,5.924523141,8.396405313,1.303840481
322,378,5.960876465,8.131266918,1.040913061
323,378,4.731362211,8.285065221,1.923538406
324,378,3.375879574,8.177372873,1.788854382
325,378,3.671224519,8.14828526,1.494322589
326,378,4.119037175,8.160084691,1.378404875
327,378,4.977078511,8.389643715,1.347775946
328,378,4.670957927,8.269820958,2.250999778
329,378,4.991792206,8.323285953,2.334523506
330,378,5.259056653,8.415183591,1.217990148
331,378,5.022563865,8.184051956,1.543858802
332,378,5.257755755,8.045789845,1.488959368
333,378,5.17840707,7.798349733,1.543696861
334,378,5.049535443,7.215765617,1
335,378,4.821087692,6.48063485,1.080046295
336,378,4.226833745,6.113279104,1.197288603
337,379,3.563882964,5.601901487,1.402319507
338,379,1.848454813,5.108929212,1.727136358
339,379,2.174751721,5.194418124,2.187121396
340,379,0.182321557,5.198051142,2.636285265
341,379,1.492904096,5.64943741,2.352339261
342,379,3.139832618,7.44635458,2.183346056
343,379,3.137665769,7.874384735,2.469817807
344,379,3.254242969,8.251979015,2.167948339
345,379,3.861781789,8.286362247,2.148604198
346,379,4.510309905,8.272033172,1.760681686
347,379,4.363098625,8.257041682,1.979014906
348,379,3.946424432,8.181547655,2.004120755
353,379,4.622518824,8.370290962,1.648180815
354,379,4.367547313,8.342381922,1.543858802
355,379,4.828713657,8.135472665,1.291123542
356,379,4.563305982,7.970659028,1.663430191
357,379,4.467056884,7.872215251,2.077739156
358,379,4.662022998,7.529275832,1.591540135
359,379,4.06731589,6.4191822,1.161895004
360,379,4.130355,6.213180929,1.402319507
361,380,3.325036021,5.67825476,1.532970972
362,380,1.93874166,5.329156061,1.596871942
363,380,2.028148247,5.347725628,1.390323703
364,380,2.098017927,5.136858561,1.549193338
365,380,2.1690537,5.595194724,1.420211252
366,380,4.822295665,7.058003015,1.322875656
367,380,5.216564865,7.180580343,1.048808848
368,380,5.589306465,7.957994939,1.278084504
369,380,5.85950335,7.924886042,1.354067945
370,380,5.456815724,7.685502168,1.329097438
371,380,4.135166557,7.786594188,1.238345671
372,380,2.731115474,7.529420999,1.056645636
373,380,3.771610852,7.455536549,1.688194302
374,380,4.433194921,7.694820293,1.238345671
375,380,4.396915247,7.69380141,1.372406645
376,380,4.656813419,7.773268963,1.147388339
377,380,4.860199926,7.896330343,0.966178037
378,380,5.044714608,7.836589098,1.118033989
379,380,5.183467525,7.67506856,1.197288603
380,380,4.938064601,7.358472478,1.224744871
381,380,3.953164949,6.993630898,1.303840481
382,380,3.250374492,6.923755486,1.378404875
383,380,3.45946629,6.734980608,1.303840481
384,380,3.15912582,6.382178143,1.341640786
385,381,2.681021529,6.099526964,1.251798706
386,381,2.459588842,5.931637981,1.366382084
387,381,3.056356895,5.491090059,1.210991329
388,381,3.387774361,5.34842215,1
389,381,3.961765097,5.680126216,0.84646323
390,381,4.525585707,6.55055651,0.836660027
391,381,5.401099561,7.531534947,0.806225775
392,381,5.119489699,7.925551884,1.154772705
393,381,4.317488114,7.933359003,1.449137675
394,381,3.868071118,7.962326759,1.622806211
395,381,4.153399325,8.060800713,1.765361153
396,381,4.306090069,8.030667227,1.830300522
397,381,3.859676525,7.886827705,1.932226695
398,381,4.244917421,7.723163505,1.607171428
399,381,4.662022998,7.825525602,1.47766708
400,381,4.479039909,7.436628926,1.238345671
401,381,4.945563297,7.483400823,0.912962212
402,381,5.010968572,7.542694667,1.211197754
403,381,5.025195445,7.212217337,0.836660027
404,381,4.835090722,6.945988149,0.921954446
405,381,4.856706812,6.494745989,1.47766708
406,381,4.758320365,6.483973108,1.420035211
407,381,4.294560609,6.245465311,1.596871942
408,381,4.300002799,6.350941479,1.5
409,382,4.052654135,6.300044693,1.5
410,382,4.24563401,5.975842385,0.82643814
411,382,3.801091445,5.521798429,1.161895004
412,382,3.421000009,5.396279615,1.303840481
413,382,3.722072421,5.481706584,1.291123542
414,382,3.348148161,5.182238223,1.454819576
415,382,2.509599262,5.303022468,1.893013471
416,382,3.851210866,6.093486686,1.591697207
417,382,4.261975404,6.591579167,1.217990148
418,382,4.191168747,6.648469248,1.072380529
419,382,3.464172181,6.781627268,1.784236531
420,382,4.233381604,6.913571756,1.760681686
421,382,3.965563772,6.803189635,1.238143772
422,382,4.539030383,6.846865694,0.774596669
423,382,4.53635587,7.114012609,0.885155354
424,382,3.308716529,7.287213769,2.327337535
425,382,3.152736022,7.437258168,2.140794245
426,382,3.058707073,7.480072503,2.065550774
427,382,3.117949906,7.286642836,2.456318383
428,382,3.236715743,6.918981174,2.187121396
429,382,3.662278772,6.688363053,1.565247584
430,382,3.442019376,6.479387507,2.069661808
431,382,3.816612821,6.093565255,1.633095221
432,382,4.147095128,5.710960369,0.912962212
433,383,3.638901084,5.086719007,1.372406645
434,383,2.332143895,5.057757558,1.712746333
435,383,1.667706821,4.807118717,1.866413673
436,383,2.128231706,5.119995745,1.843908891
437,383,2.91506437,5.209669525,1.543858802
438,383,5.129602813,7.658014131,1.516575089
439,383,5.584998939,7.806164791,1.110630452
440,383,6.100431053,8.257463757,0.866025404
441,383,6.009550015,8.40945367,0.903603896
442,383,5.814578193,8.195403699,1.118033989
443,383,5.621849092,8.217065427,0.875785362
444,383,4.829912459,8.135877813,0.939946807
445,383,4.409155302,8.014227089,1.176222768
446,383,5.083575918,8.143453411,1.596871942
447,383,5.027820119,8.21703227,1.74642492
448,383,5.083265985,8.22391684,1.303840481
449,383,5.387700928,8.358942116,0.991463565
450,383,5.646153362,8.307110866,1.102950588
451,383,5.783825182,8.209703137,1.095445115
452,383,5.317384429,7.836813017,1.080277742
453,383,5.567962752,7.655746291,0.991463565
454,383,5.411199524,7.008640988,1.024695077
455,383,4.820281566,6.20033388,1.032714869
456,383,4.345751579,5.856800229,1.204159458
457,384,4.17975744,5.45926253,1.147388339
458,384,3.737669618,5.491517005,1.384557691
459,384,3.747148362,5.173554418,0.948683298
460,384,3.690128674,5.155180701,0.903603896
461,384,4.043928076,5.39855553,0.806225775
462,384,5.49614311,7.324186425,0.774596669
463,384,5.897977704,7.885886327,0.957340065
464,384,6.139129957,8.244236609,1.095445115
465,384,6.013959625,8.033360635,0.894427191
466,384,5.81978615,7.888069925,1.258371964
467,384,5.042456906,7.845812042,1.238143772
468,384,4.74927053,7.777281949,1.210991329
469,384,5.041164499,7.67111256,1.372224471
470,384,4.280824129,7.96418518,1.698087159
471,384,3.131136911,8.035485493,2.272993621
472,384,5.055927283,8.158421489,1.843908891
473,384,5.671087092,8.36653896,1.238143772
474,384,4.760034897,8.339854479,1.857417562
