"Zuckergehalt","Sorte"
9.2,"A"
7.7,"A"
7.5,"A"
7.9,"A"
7.2,"A"
9.3,"A"
10.8666666666667,"A"
6.33333333333333,"A"
6.96666666666667,"A"
8.9,"A"
6.4,"A"
8.9,"A"
8.73333333333333,"A"
8.33333333333333,"A"
7.3,"A"
9.36666666666667,"A"
9.46666666666667,"A"
8.73333333333333,"A"
8.43333333333333,"A"
6.8,"A"
8.63333333333333,"A"
8.3,"A"
7.96666666666667,"A"
8.36666666666667,"A"
8.4,"A"
8.3,"A"
8,"A"
9.33333333333333,"A"
9.66666666666667,"A"
8.36666666666667,"A"
7.96666666666667,"A"
8.7,"A"
9,"A"
7.73333333333333,"A"
5.6,"A"
9.1,"A"
8.1,"A"
9.06666666666667,"A"
6.06666666666667,"A"
9.6,"A"
8.7,"A"
9.1,"A"
8.96666666666667,"A"
7.66666666666667,"A"
8.73333333333333,"A"
9.05334142569292,"B"
7.66316557282419,"B"
9.93982896987623,"B"
8.2196440436803,"B"
6.00920307225407,"B"
8.40548495050035,"B"
8.10452502226546,"B"
9.84375124832017,"B"
6.9143619058164,"B"
9.67609580723703,"B"
6.60944094334097,"B"
8.6030000821858,"B"
7.60060348965275,"B"
7.85566367589772,"B"
7.39707701958084,"B"
6.96749130871269,"B"
8.77523166384461,"B"
8.79843709403123,"B"
9.24873591156208,"B"
6.73416024464264,"B"
8.77890920924775,"B"
8.48481209306799,"B"
5.77600343943287,"B"
10.7734134366684,"B"
8.08895870709715,"B"
10.0023501590813,"B"
6.81390287873871,"B"
8.67734114435419,"B"
7.30892674454192,"B"
8.19129778838857,"B"
8.40636490097693,"B"
8.26958588164715,"B"
7.66895872974917,"B"
7.3367418784281,"B"
8.35239017146237,"B"
7.66582113279872,"B"
7.1296858479904,"B"
7.08640864879767,"B"
8.04163096955273,"B"
9.40125564640206,"B"
9.17491979747407,"B"
6.70492768184077,"B"
8.90547494039507,"B"
7.42839998437469,"B"
6.88492491379095,"B"
8.89773653480458,"C"
9.28553419403301,"C"
11.9628307301696,"C"
11.1548183745878,"C"
9.853053730879,"C"
9.68370752429324,"C"
9.23216587905333,"C"
10.2758646051796,"C"
11.649349333313,"C"
9.00059090967914,"C"
10.7412948810367,"C"
9.55341541118702,"C"
10.998881328082,"C"
9.87534574849752,"C"
8.42732148232538,"C"
9.94912609660117,"C"
11.2424477018201,"C"
10.4317446232959,"C"
9.56751563088415,"C"
8.5456336869911,"C"
10.8515529162858,"C"
10.153604126938,"C"
10.0435121516596,"C"
9.38059407433587,"C"
9.91132372190698,"C"
10.0427060772086,"C"
10.7192676769731,"C"
12.5071752398229,"C"
8.77557202828574,"C"
9.96576161317509,"C"
10.6045824557412,"C"
9.46848970795402,"C"
9.65320589837311,"C"
10.8316641593852,"C"
10.4131625523848,"C"
9.11835950773373,"C"
10.0314071937774,"C"
9.26044611904257,"C"
9.56895857089389,"C"
9.96558352240025,"C"
9.9438841950601,"C"
9.33275272152619,"C"
9.86708774711219,"C"
10.0730422902424,"C"
10.0642199521189,"C"
10.8846272397088,"D"
11.6162742425478,"D"
10.8293533982651,"D"
11.8689299125825,"D"
10.5787557058948,"D"
11.0984882733912,"D"
11.2276124683852,"D"
11.4319775956878,"D"
11.337091278165,"D"
11.1903138960726,"D"
11.1573126253072,"D"
9.37262264928816,"D"
10.423483959218,"D"
11.9804411287958,"D"
10.1443719246169,"D"
11.6306178650467,"D"
12.037778028046,"D"
11.664987845754,"D"
9.32449235578068,"D"
11.9879796075316,"D"
10.1800957512926,"D"
10.6108461629875,"D"
11.1859596140453,"D"
11.622763310208,"D"
11.5555134232849,"D"
12.2200060598614,"D"
9.39670929590636,"D"
8.95008289663619,"D"
8.76861101599267,"D"
9.68113188222041,"D"
10.8106897924671,"D"
12.4598384945007,"D"
12.6062903058406,"D"
9.61321708057486,"D"
10.829732673892,"D"
11.2158251353888,"D"
11.105855458071,"D"
11.2092222274897,"D"
10.8829134519346,"D"
10.0188283579326,"D"
10.6877221770214,"D"
10.6277344161064,"D"
11.1121199797767,"D"
11.0186022950406,"D"
9.96484345129428,"D"
