Nr;Gewicht;Brix1;Brix2;Brix3
1;20.4;9.2;9.2;9.2
2;18.54;7.7;7.7;7.7
3;29.26;7.5;7.5;7.5
4;13.26;7.9;7.9;7.9
5;12.72;7.2;7.2;7.2
6;16.66;9.3;9.3;9.3
7;16.44;11;10.8;10.8
8;14.32;6.4;6.3;6.3
9;21.58;7;7;6.9
10;31.32;8.9;8.9;8.9
11;14.54;6.5;6.3;6.4
12;21.82;8.9;8.9;8.9
13;18.36;8.8;8.7;8.7
14;11.4;8.3;8.4;8.3
15;16.18;7.3;7.3;7.3
16;13.54;9.4;9.4;9.3
17;12.58;9.4;9.5;9.5
18;16.34;8.8;8.7;8.7
19;11.32;8.4;8.4;8.5
20;9.68;6.8;6.8;6.8
21;20.8;8.7;8.6;8.6
22;11.64;8.3;8.3;8.3
23;16.36;7.9;8;8
24;25.28;8.4;8.4;8.3
25;10.98;8.4;8.4;8.4
26;21.94;8.3;8.3;8.3
27;12.34;8;8;8
28;10.56;9.4;9.3;9.3
29;16.82;9.7;9.7;9.6
30;18.12;8.4;8.4;8.3
31;9.52;7.9;8;8
32;8.88;8.7;8.7;8.7
33;7.68;9;9;9
34;13.28;7.8;7.7;7.7
35;9.48;5.6;5.6;5.6
36;25.74;9.1;9.1;9.1
37;22.24;8.1;8.1;8.1
38;17.8;9;9.1;9.1
39;10.24;6.1;6;6.1
40;19.34;9.6;9.6;9.6
41;10.18;8.7;8.7;8.7
42;13.32;9.1;9.1;9.1
43;11.04;9;9;8.9
44;14.56;7.7;7.6;7.7
45;9.34;8.8;8.7;8.7
